For April, day 1, temperature = 24.78, humidity = 0.75, pressure = 1015.78
For April, day 29, temperature = 49.01, humidity = 0.89, pressure = 1012.01
For April, day 30, temperature = 47.54, humidity = 0.84, pressure = 1009.87
For August, day 1, temperature = 71.04, humidity = 0.6, pressure = 1020.79
For August, day 2, temperature = 74.71, humidity = 0.74, pressure = 1021.2
For August, day 3, temperature = 79.48, humidity = 0.82, pressure = 1017.64
For August, day 4, temperature = 79.61, humidity = 0.8, pressure = 1011.79
For August, day 5, temperature = 80.22, humidity = 0.8, pressure = 1011.53
For August, day 6, temperature = 79.62, humidity = 0.77, pressure = 1012.81
For August, day 7, temperature = 75.64, humidity = 0.69, pressure = 1020.15
For August, day 8, temperature = 75.41, humidity = 0.8, pressure = 1019.38
For August, day 9, temperature = 74.17, humidity = 0.7, pressure = 1014.76
For August, day 10, temperature = 73.74, humidity = 0.73, pressure = 1014.49
For August, day 11, temperature = 72.71, humidity = 0.7, pressure = 1014.0
For August, day 12, temperature = 73.86, humidity = 0.74, pressure = 1013.87
For August, day 13, temperature = 73.44, humidity = 0.78, pressure = 1010.24
For August, day 14, temperature = 62.48, humidity = 0.68, pressure = 1019.65
For August, day 15, temperature = 66.52, humidity = 0.69, pressure = 1024.79
For August, day 16, temperature = 73.14, humidity = 0.68, pressure = 1020.6
For August, day 17, temperature = 75.95, humidity = 0.76, pressure = 1015.09
For August, day 18, temperature = 74.83, humidity = 0.67, pressure = 1018.86
For August, day 19, temperature = 73.87, humidity = 0.68, pressure = 1023.36
For August, day 20, temperature = 76.62, humidity = 0.63, pressure = 1019.48
For August, day 21, temperature = 68.7, humidity = 0.64, pressure = 1020.63
For August, day 22, temperature = 69.2, humidity = 0.77, pressure = 1015.3
For August, day 23, temperature = 71.41, humidity = 0.79, pressure = 1010.97
For August, day 24, temperature = 66.35, humidity = 0.66, pressure = 1017.38
For August, day 25, temperature = 63.06, humidity = 0.7, pressure = 1022.82
For August, day 26, temperature = 64.15, humidity = 0.67, pressure = 1024.6
For August, day 27, temperature = 66.22, humidity = 0.63, pressure = 1021.39
For August, day 28, temperature = 69.88, humidity = 0.78, pressure = 1017.53
For August, day 29, temperature = 71.52, humidity = 0.82, pressure = 1016.16
For August, day 30, temperature = 75.07, humidity = 0.79, pressure = 1010.77
For August, day 31, temperature = 76.71, humidity = 0.73, pressure = 1013.39
For December, day 1, temperature = 19.08, humidity = 0.45, pressure = 1010.84
For December, day 2, temperature = 11.99, humidity = 0.55, pressure = 1027.79
For December, day 3, temperature = 26.74, humidity = 0.9, pressure = 1014.89
For December, day 4, temperature = 33.85, humidity = 0.67, pressure = 1019.29
For December, day 5, temperature = 12.64, humidity = 0.6, pressure = 1039.61
For December, day 6, temperature = 19.97, humidity = 0.61, pressure = 1025.19
For December, day 7, temperature = 28.52, humidity = 0.73, pressure = 1020.19
For December, day 8, temperature = 34.49, humidity = 0.69, pressure = 1019.74
For December, day 9, temperature = 34.95, humidity = 0.69, pressure = 1025.46
For December, day 10, temperature = 38.08, humidity = 0.75, pressure = 1023.39
For December, day 11, temperature = 26.57, humidity = 0.54, pressure = 1039.35
For December, day 12, temperature = 43.9, humidity = 0.79, pressure = 1015.27
For December, day 13, temperature = 35.56, humidity = 0.62, pressure = 1014.64
For December, day 14, temperature = 29.96, humidity = 0.78, pressure = 1013.82
For December, day 15, temperature = 32.68, humidity = 0.75, pressure = 999.37
For December, day 16, temperature = 36.18, humidity = 0.8, pressure = 1011.99
For February, day 1, temperature = 35.95, humidity = 0.62, pressure = 1023.12
For February, day 2, temperature = 40.62, humidity = 0.81, pressure = 1020.23
For February, day 3, temperature = 48.43, humidity = 0.69, pressure = 1014.43
For February, day 4, temperature = 32.38, humidity = 0.67, pressure = 1019.34
For February, day 5, temperature = 26.2, humidity = 0.69, pressure = 1026.03
For February, day 6, temperature = 31.12, humidity = 0.66, pressure = 1019.88
For February, day 7, temperature = 25.42, humidity = 0.7, pressure = 1009.87
For February, day 8, temperature = 22.91, humidity = 0.77, pressure = 1003.84
For February, day 9, temperature = 27.66, humidity = 0.77, pressure = 1002.85
For February, day 10, temperature = 15.4, humidity = 0.53, pressure = 1012.88
For February, day 11, temperature = 13.7, humidity = 0.58, pressure = 1016.8
For February, day 12, temperature = 2.18, humidity = 0.46, pressure = 1019.69
For February, day 13, temperature = -2.87, humidity = 0.5, pressure = 1033.18
For February, day 14, temperature = 16.5, humidity = 0.77, pressure = 1027.31
For February, day 15, temperature = 40.28, humidity = 0.8, pressure = 1005.56
For February, day 16, temperature = 30.88, humidity = 0.62, pressure = 1019.51
For February, day 17, temperature = 21.71, humidity = 0.48, pressure = 1032.8
For February, day 18, temperature = 35.72, humidity = 0.55, pressure = 1022.17
For February, day 19, temperature = 48.32, humidity = 0.53, pressure = 1009.1
For February, day 20, temperature = 39.88, humidity = 0.61, pressure = 1015.58
For February, day 21, temperature = 30.74, humidity = 0.5, pressure = 1026.23
For February, day 22, temperature = 33.99, humidity = 0.82, pressure = 1023.43
For February, day 23, temperature = 49.85, humidity = 0.85, pressure = 995.1
For February, day 24, temperature = 34.03, humidity = 0.61, pressure = 999.67
For February, day 25, temperature = 25.56, humidity = 0.49, pressure = 1016.4
For February, day 26, temperature = 39.6, humidity = 0.48, pressure = 1011.41
For February, day 27, temperature = 45.63, humidity = 0.61, pressure = 1003.29
For February, day 28, temperature = 35.65, humidity = 0.43, pressure = 1015.84
For February, day 29, temperature = 36.27, humidity = 0.66, pressure = 1005.08
For January, day 1, temperature = 35.73, humidity = 0.63, pressure = 1014.74
For January, day 2, temperature = 31.69, humidity = 0.58, pressure = 1014.51
For January, day 3, temperature = 33.27, humidity = 0.61, pressure = 1009.63
For January, day 4, temperature = 22.3, humidity = 0.6, pressure = 1016.43
For January, day 5, temperature = 11.95, humidity = 0.54, pressure = 1034.09
For January, day 6, temperature = 19.98, humidity = 0.57, pressure = 1032.54
For January, day 7, temperature = 23.33, humidity = 0.62, pressure = 1026.29
For January, day 8, temperature = 29.49, humidity = 0.72, pressure = 1024.38
For January, day 9, temperature = 37.8, humidity = 0.8, pressure = 1022.69
For January, day 10, temperature = 45.37, humidity = 0.84, pressure = 1001.5
For January, day 11, temperature = 26.39, humidity = 0.46, pressure = 1012.06
For January, day 12, temperature = 25.71, humidity = 0.68, pressure = 1008.62
For January, day 13, temperature = 20.27, humidity = 0.55, pressure = 1011.44
For January, day 14, temperature = 24.01, humidity = 0.66, pressure = 1013.31
For January, day 15, temperature = 34.77, humidity = 0.74, pressure = 1007.79
For January, day 16, temperature = 35.91, humidity = 0.78, pressure = 1003.2
For January, day 17, temperature = 28.4, humidity = 0.65, pressure = 1006.53
For January, day 18, temperature = 18.4, humidity = 0.5, pressure = 1008.52
For January, day 19, temperature = 20.44, humidity = 0.53, pressure = 1015.34
For January, day 20, temperature = 23.97, humidity = 0.54, pressure = 1018.52
For January, day 21, temperature = 21.93, humidity = 0.49, pressure = 1022.02
For January, day 22, temperature = 23.75, humidity = 0.5, pressure = 1019.66
For January, day 23, temperature = 22.5, humidity = 0.52, pressure = 1010.26
For January, day 24, temperature = 26.89, humidity = 0.51, pressure = 1019.84
For January, day 25, temperature = 32.18, humidity = 0.67, pressure = 1020.4
For January, day 26, temperature = 40.38, humidity = 0.6, pressure = 1013.03
For January, day 27, temperature = 28.82, humidity = 0.63, pressure = 1016.3
For January, day 28, temperature = 32.59, humidity = 0.71, pressure = 1001.05
For January, day 29, temperature = 29.68, humidity = 0.62, pressure = 1011.62
For January, day 30, temperature = 39.69, humidity = 0.52, pressure = 1012.27
For January, day 31, temperature = 44.27, humidity = 0.64, pressure = 1008.2
For July, day 1, temperature = 75.3, humidity = 0.8, pressure = 1007.9
For July, day 2, temperature = 71.37, humidity = 0.77, pressure = 1010.2
For July, day 3, temperature = 62.75, humidity = 0.86, pressure = 1011.06
For July, day 4, temperature = 65.71, humidity = 0.85, pressure = 1012.23
For July, day 5, temperature = 65.76, humidity = 0.72, pressure = 1018.64
For July, day 6, temperature = 73.2, humidity = 0.65, pressure = 1018.02
For July, day 7, temperature = 77.87, humidity = 0.66, pressure = 1015.21
For July, day 8, temperature = 76.31, humidity = 0.83, pressure = 1009.79
For July, day 9, temperature = 77.1, humidity = 0.67, pressure = 1012.61
For July, day 10, temperature = 76.4, humidity = 0.66, pressure = 1017.86
For July, day 11, temperature = 76.97, humidity = 0.66, pressure = 1017.71
For July, day 12, temperature = 74.41, humidity = 0.64, pressure = 1015.77
For July, day 13, temperature = 67.02, humidity = 0.58, pressure = 1021.53
For July, day 14, temperature = 71.07, humidity = 0.6, pressure = 1020.33
For July, day 15, temperature = 79.43, humidity = 0.6, pressure = 1012.92
For July, day 16, temperature = 80.26, humidity = 0.6, pressure = 1009.33
For July, day 17, temperature = 74.55, humidity = 0.61, pressure = 1014.47
For July, day 18, temperature = 76.4, humidity = 0.68, pressure = 1012.35
For July, day 19, temperature = 77.83, humidity = 0.63, pressure = 1010.76
For July, day 20, temperature = 76.45, humidity = 0.6, pressure = 1012.88
For July, day 21, temperature = 77.96, humidity = 0.63, pressure = 1011.83
For July, day 22, temperature = 74.29, humidity = 0.78, pressure = 1011.93
For July, day 23, temperature = 73.21, humidity = 0.74, pressure = 1016.91
For July, day 24, temperature = 69.1, humidity = 0.86, pressure = 1018.58
For July, day 25, temperature = 69.1, humidity = 0.82, pressure = 1018.87
For July, day 26, temperature = 65.22, humidity = 0.81, pressure = 1021.17
For July, day 27, temperature = 68.7, humidity = 0.67, pressure = 1021.35
For July, day 28, temperature = 71.76, humidity = 0.64, pressure = 1018.32
For July, day 29, temperature = 76.5, humidity = 0.67, pressure = 1009.5
For July, day 30, temperature = 74.16, humidity = 0.68, pressure = 1007.92
For July, day 31, temperature = 72.38, humidity = 0.61, pressure = 1014.83
For June, day 1, temperature = 70.07, humidity = 0.67, pressure = 1002.64
For June, day 2, temperature = 67.39, humidity = 0.69, pressure = 998.89
For June, day 3, temperature = 59.22, humidity = 0.61, pressure = 1001.9
For June, day 4, temperature = 57.82, humidity = 0.51, pressure = 1007.83
For June, day 5, temperature = 60.04, humidity = 0.53, pressure = 1014.64
For June, day 6, temperature = 59.26, humidity = 0.83, pressure = 1008.79
For June, day 7, temperature = 60.79, humidity = 0.59, pressure = 1004.92
For June, day 8, temperature = 59.52, humidity = 0.64, pressure = 1008.67
For June, day 9, temperature = 64.11, humidity = 0.58, pressure = 1012.53
For June, day 10, temperature = 69.82, humidity = 0.58, pressure = 1010.7
For June, day 11, temperature = 70.7, humidity = 0.55, pressure = 1008.93
For June, day 12, temperature = 66.73, humidity = 0.55, pressure = 1018.09
For June, day 13, temperature = 70.04, humidity = 0.52, pressure = 1024.81
For June, day 14, temperature = 70.82, humidity = 0.63, pressure = 1023.14
For June, day 15, temperature = 74.4, humidity = 0.61, pressure = 1010.79
For June, day 16, temperature = 66.27, humidity = 0.56, pressure = 1008.83
For June, day 17, temperature = 65.26, humidity = 0.56, pressure = 1011.8
For June, day 18, temperature = 68.52, humidity = 0.57, pressure = 1014.31
For June, day 19, temperature = 69.43, humidity = 0.57, pressure = 1020.73
For June, day 20, temperature = 72.06, humidity = 0.55, pressure = 1021.97
For June, day 21, temperature = 72.71, humidity = 0.58, pressure = 1017.86
For June, day 22, temperature = 71.55, humidity = 0.79, pressure = 1014.41
For June, day 23, temperature = 73.18, humidity = 0.72, pressure = 1011.25
For June, day 24, temperature = 72.41, humidity = 0.57, pressure = 1014.32
For June, day 25, temperature = 70.08, humidity = 0.72, pressure = 1014.47
For June, day 26, temperature = 68.18, humidity = 0.61, pressure = 1012.52
For June, day 27, temperature = 67.62, humidity = 0.56, pressure = 1017.05
For June, day 28, temperature = 71.41, humidity = 0.56, pressure = 1015.87
For June, day 29, temperature = 74.37, humidity = 0.72, pressure = 1008.54
For June, day 30, temperature = 77.6, humidity = 0.64, pressure = 1009.93
For March, day 1, temperature = 23.97, humidity = 0.44, pressure = 1021.05
For March, day 2, temperature = 26.71, humidity = 0.58, pressure = 1021.59
For March, day 3, temperature = 27.95, humidity = 0.47, pressure = 1021.12
For March, day 4, temperature = 30.85, humidity = 0.48, pressure = 1024.52
For March, day 5, temperature = 38.23, humidity = 0.61, pressure = 1019.64
For March, day 6, temperature = 45.94, humidity = 0.65, pressure = 1019.96
For March, day 7, temperature = 58.79, humidity = 0.52, pressure = 1016.18
For March, day 8, temperature = 59.45, humidity = 0.74, pressure = 1012.88
For March, day 9, temperature = 47.42, humidity = 0.67, pressure = 1021.03
For March, day 10, temperature = 46.58, humidity = 0.55, pressure = 1019.31
For March, day 11, temperature = 51.94, humidity = 0.33, pressure = 1018.65
For March, day 12, temperature = 39.05, humidity = 0.82, pressure = 1019.65
For March, day 13, temperature = 44.5, humidity = 0.83, pressure = 1010.22
For March, day 14, temperature = 50.09, humidity = 0.76, pressure = 1009.94
For March, day 15, temperature = 45.67, humidity = 0.69, pressure = 1006.64
For March, day 16, temperature = 37.25, humidity = 0.53, pressure = 1012.54
For March, day 17, temperature = 31.6, humidity = 0.39, pressure = 1020.62
For March, day 18, temperature = 33.6, humidity = 0.59, pressure = 1014.54
For March, day 19, temperature = 36.65, humidity = 0.45, pressure = 1012.9
For March, day 20, temperature = 46.45, humidity = 0.49, pressure = 1014.1
For March, day 21, temperature = 46.61, humidity = 0.53, pressure = 1018.95
For March, day 22, temperature = 42.05, humidity = 0.82, pressure = 1011.32
For March, day 23, temperature = 41.82, humidity = 0.65, pressure = 1019.94
For March, day 24, temperature = 41.24, humidity = 0.71, pressure = 1028.4
For March, day 25, temperature = 42.28, humidity = 0.78, pressure = 1013.5
For March, day 26, temperature = 42.85, humidity = 0.6, pressure = 1004.94
For March, day 27, temperature = 40.1, humidity = 0.43, pressure = 1023.27
For March, day 28, temperature = 53.78, humidity = 0.53, pressure = 1014.76
For March, day 29, temperature = 62.67, humidity = 0.77, pressure = 1002.33
For March, day 30, temperature = 46.81, humidity = 0.72, pressure = 999.84
For March, day 31, temperature = 32.22, humidity = 0.63, pressure = 1001.43
For May, day 1, temperature = 48.2, humidity = 0.78, pressure = 1006.89
For May, day 2, temperature = 52.77, humidity = 0.78, pressure = 1008.49
For May, day 3, temperature = 51.22, humidity = 0.88, pressure = 1008.51
For May, day 4, temperature = 52.19, humidity = 0.65, pressure = 1005.45
For May, day 5, temperature = 51.88, humidity = 0.46, pressure = 1015.94
For May, day 6, temperature = 52.85, humidity = 0.48, pressure = 1021.25
For May, day 7, temperature = 58.94, humidity = 0.46, pressure = 1020.31
For May, day 8, temperature = 63.58, humidity = 0.45, pressure = 1017.41
For May, day 9, temperature = 59.54, humidity = 0.83, pressure = 1008.99
For May, day 10, temperature = 59.51, humidity = 0.63, pressure = 1003.48
For May, day 11, temperature = 45.91, humidity = 0.48, pressure = 1008.77
For May, day 12, temperature = 49.88, humidity = 0.49, pressure = 1016.82
For May, day 13, temperature = 56.58, humidity = 0.52, pressure = 1019.58
For May, day 14, temperature = 58.54, humidity = 0.53, pressure = 1018.94
For May, day 15, temperature = 55.51, humidity = 0.7, pressure = 1020.55
For May, day 16, temperature = 60.16, humidity = 0.58, pressure = 1021.54
For May, day 17, temperature = 59.85, humidity = 0.59, pressure = 1012.72
For May, day 18, temperature = 61.48, humidity = 0.66, pressure = 1011.79
For May, day 19, temperature = 64.6, humidity = 0.65, pressure = 1011.83
For May, day 20, temperature = 63.46, humidity = 0.74, pressure = 1015.02
For May, day 21, temperature = 72.48, humidity = 0.57, pressure = 1017.33
For May, day 22, temperature = 74.58, humidity = 0.59, pressure = 1017.15
For May, day 23, temperature = 75.99, humidity = 0.68, pressure = 1017.59
For May, day 24, temperature = 74.59, humidity = 0.71, pressure = 1019.23
For May, day 25, temperature = 69.03, humidity = 0.81, pressure = 1015.48
For May, day 26, temperature = 73.33, humidity = 0.63, pressure = 1013.07
For May, day 27, temperature = 68.68, humidity = 0.59, pressure = 1018.26
For May, day 28, temperature = 67.41, humidity = 0.65, pressure = 1020.39
For May, day 29, temperature = 64.82, humidity = 0.8, pressure = 1017.27
For May, day 30, temperature = 71.1, humidity = 0.7, pressure = 1014.72
For May, day 31, temperature = 64.87, humidity = 0.89, pressure = 1008.04
For November, day 1, temperature = 41.23, humidity = 0.58, pressure = 1015.85
For November, day 2, temperature = 45.6, humidity = 0.55, pressure = 1015.29
For November, day 3, temperature = 47.69, humidity = 0.9, pressure = 1006.24
For November, day 4, temperature = 44.4, humidity = 0.78, pressure = 1012.03
For November, day 5, temperature = 45.72, humidity = 0.72, pressure = 1018.7
For November, day 6, temperature = 43.72, humidity = 0.77, pressure = 1014.74
For November, day 7, temperature = 39.57, humidity = 0.83, pressure = 997.1
For November, day 8, temperature = 30.93, humidity = 0.66, pressure = 999.36
For November, day 9, temperature = 32.35, humidity = 0.58, pressure = 1012.9
For November, day 10, temperature = 31.7, humidity = 0.62, pressure = 1023.88
For November, day 11, temperature = 34.57, humidity = 0.78, pressure = 1026.0
For November, day 12, temperature = 39.34, humidity = 0.94, pressure = 1023.18
For November, day 13, temperature = 37.28, humidity = 0.9, pressure = 1018.46
For November, day 14, temperature = 33.41, humidity = 0.81, pressure = 1018.17
For November, day 15, temperature = 33.55, humidity = 0.78, pressure = 1021.39
For November, day 16, temperature = 45.1, humidity = 0.94, pressure = 1013.9
For November, day 17, temperature = 46.34, humidity = 0.95, pressure = 1007.84
For November, day 18, temperature = 42.02, humidity = 0.69, pressure = 1005.39
For November, day 19, temperature = 41.15, humidity = 0.6, pressure = 1010.05
For November, day 20, temperature = 35.42, humidity = 0.58, pressure = 1019.4
For November, day 21, temperature = 30.6, humidity = 0.76, pressure = 1019.77
For November, day 22, temperature = 34.52, humidity = 0.81, pressure = 1017.73
For November, day 23, temperature = 36.12, humidity = 0.85, pressure = 1014.89
For November, day 24, temperature = 33.44, humidity = 0.88, pressure = 1013.91
For November, day 25, temperature = 31.01, humidity = 0.54, pressure = 1014.73
For November, day 26, temperature = 22.89, humidity = 0.54, pressure = 1025.72
For November, day 27, temperature = 20.57, humidity = 0.73, pressure = 1031.29
For November, day 28, temperature = 32.91, humidity = 0.89, pressure = 1013.68
For November, day 29, temperature = 34.34, humidity = 0.63, pressure = 1017.6
For November, day 30, temperature = 29.03, humidity = 0.67, pressure = 1013.42
For October, day 1, temperature = 50.92, humidity = 0.77, pressure = 1027.58
For October, day 2, temperature = 55.69, humidity = 0.81, pressure = 1019.0
For October, day 3, temperature = 46.89, humidity = 0.65, pressure = 1026.4
For October, day 4, temperature = 43.99, humidity = 0.73, pressure = 1029.21
For October, day 5, temperature = 55.51, humidity = 0.79, pressure = 1018.39
For October, day 6, temperature = 63.77, humidity = 0.82, pressure = 1012.51
For October, day 7, temperature = 67.95, humidity = 0.77, pressure = 1010.5
For October, day 8, temperature = 61.36, humidity = 0.73, pressure = 1017.65
For October, day 9, temperature = 59.4, humidity = 0.78, pressure = 1018.2
For October, day 10, temperature = 61.84, humidity = 0.91, pressure = 999.77
For October, day 11, temperature = 43.87, humidity = 0.77, pressure = 998.07
For October, day 12, temperature = 50.65, humidity = 0.57, pressure = 1008.34
For October, day 13, temperature = 44.36, humidity = 0.55, pressure = 1016.79
For October, day 14, temperature = 39.09, humidity = 0.54, pressure = 1025.83
For October, day 15, temperature = 33.41, humidity = 0.7, pressure = 1030.99
For October, day 16, temperature = 39.52, humidity = 0.86, pressure = 1019.02
For October, day 17, temperature = 42.96, humidity = 0.75, pressure = 1018.44
For October, day 18, temperature = 53.67, humidity = 0.76, pressure = 1011.11
For October, day 19, temperature = 44.85, humidity = 0.69, pressure = 1018.95
For October, day 20, temperature = 38.49, humidity = 0.77, pressure = 1027.51
For October, day 21, temperature = 53.85, humidity = 0.77, pressure = 1022.49
For October, day 22, temperature = 54.67, humidity = 0.85, pressure = 1013.56
For October, day 23, temperature = 47.23, humidity = 0.62, pressure = 1019.23
For October, day 24, temperature = 43.01, humidity = 0.75, pressure = 1020.5
For October, day 25, temperature = 42.39, humidity = 0.68, pressure = 1024.94
For October, day 26, temperature = 36.2, humidity = 0.69, pressure = 1029.12
For October, day 27, temperature = 42.23, humidity = 0.7, pressure = 1016.73
For October, day 28, temperature = 43.41, humidity = 0.82, pressure = 1012.32
For October, day 29, temperature = 44.31, humidity = 0.57, pressure = 1007.15
For October, day 30, temperature = 40.84, humidity = 0.48, pressure = 1015.35
For October, day 31, temperature = 39.33, humidity = 0.53, pressure = 1020.45
For September, day 1, temperature = 76.94, humidity = 0.77, pressure = 1013.86
For September, day 2, temperature = 63.32, humidity = 0.67, pressure = 1018.64
For September, day 3, temperature = 61.88, humidity = 0.69, pressure = 1023.19
For September, day 4, temperature = 70.76, humidity = 0.67, pressure = 1018.6
For September, day 5, temperature = 64.7, humidity = 0.65, pressure = 1021.18
For September, day 6, temperature = 57.72, humidity = 0.69, pressure = 1026.01
For September, day 7, temperature = 61.54, humidity = 0.69, pressure = 1024.21
For September, day 8, temperature = 70.4, humidity = 0.78, pressure = 1017.76
For September, day 9, temperature = 71.56, humidity = 0.9, pressure = 1016.93
For September, day 10, temperature = 70.5, humidity = 0.85, pressure = 1019.06
For September, day 11, temperature = 67.75, humidity = 0.75, pressure = 1020.94
For September, day 12, temperature = 65.85, humidity = 0.7, pressure = 1021.28
For September, day 13, temperature = 64.59, humidity = 0.74, pressure = 1016.52
For September, day 14, temperature = 56.11, humidity = 0.68, pressure = 1019.88
For September, day 15, temperature = 50.03, humidity = 0.67, pressure = 1021.62
For September, day 16, temperature = 54.6, humidity = 0.68, pressure = 1019.9
For September, day 17, temperature = 60.7, humidity = 0.83, pressure = 1013.9
For September, day 18, temperature = 56.77, humidity = 0.78, pressure = 1024.49
For September, day 19, temperature = 56.5, humidity = 0.67, pressure = 1031.02
For September, day 20, temperature = 53.28, humidity = 0.83, pressure = 1028.32
For September, day 21, temperature = 53.1, humidity = 0.9, pressure = 1023.18
For September, day 22, temperature = 57.21, humidity = 0.9, pressure = 1017.29
For September, day 23, temperature = 61.46, humidity = 0.8, pressure = 1021.31
For September, day 24, temperature = 53.13, humidity = 0.81, pressure = 1028.28
For September, day 25, temperature = 53.33, humidity = 0.77, pressure = 1026.46
For September, day 26, temperature = 56.28, humidity = 0.76, pressure = 1026.04
For September, day 27, temperature = 56.24, humidity = 0.82, pressure = 1021.41
For September, day 28, temperature = 57.25, humidity = 0.87, pressure = 1016.8
For September, day 29, temperature = 49.59, humidity = 0.57, pressure = 1021.08
For September, day 30, temperature = 45.65, humidity = 0.68, pressure = 1030.32
